date,deal_type,target,acquirer,title,url
2024-01-24,acquisition,shareholding in Religare Enterprises Limited,Puran Associates Private Limited,"CCI approves acquisition of shareholding in Religare Enterprises Limited by Puran Associates Private Limited, M.B. Finmart Private Limited, and VIC Enterprises Private Limited, Milky Investment and Trading Company",https://pib.gov.in/PressReleasePage.aspx?PRID=1999119
2024-01-16,amalgamation,Shriram GI Holdings Private Limited,Shriram General Insurance Company Limited,Competition Commission of India (CCI) approves amalgamation of Shriram GI Holdings Private Limited with Shriram General Insurance Company Limited.,https://pib.gov.in/PressReleasePage.aspx?PRID=1996785
2024-01-16,amalgamation,Shriram LI Holdings Private Limited,Shriram Life Insurance Company Limited,CCI approves amalgamation of Shriram LI Holdings Private Limited with Shriram Life Insurance Company Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=1996783
2024-01-09,acquisition,remaining 30% equity stake in Signet Excipients Private Limited,IMCD India Private Limited,CCI approves acquisition of remaining 30% equity stake in Signet Excipients Private Limited by IMCD India Private Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=1994633
2024-01-02,acquisition,GVK Power (Goindwal Sahib) Limited,Punjab State Power Corporation Ltd,CCI approves acquisition of 100% shareholding of GVK Power (Goindwal Sahib) Limited by Punjab State Power Corporation Ltd.,https://pib.gov.in/PressReleasePage.aspx?PRID=1992500
2023-12-27,acquisition,control/stake in Reliance Capital Limited,IndusInd International Holdings Limited,"CCI approves acquisition of control/stake in Reliance Capital Limited by IndusInd International Holdings Limited, IIHL BFSI (India) Limited, and Aasia Enterprises LLP",https://pib.gov.in/PressReleasePage.aspx?PRID=1991029
2023-12-19,acquisition,majority shareholding of Glenmark Life Sciences Limited,Nirma Limited,CCI approves acquisition of majority shareholding of Glenmark Life Sciences Limited by Nirma Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=1988450
2023-11-29,acquisition,shareholding in Delanord Investments,Abu Dhabi Ports Company,CCI approves acquisition of shareholding in Delanord Investments by Abu Dhabi Ports Company,https://pib.gov.in/PressReleasePage.aspx?PRID=1980960
2023-11-21,acquisition,CaratLane,Titan,CCI approves acquisition of additional shareholding in CaratLane by Titan,https://pib.gov.in/PressReleasePage.aspx?PRID=1978613
2023-11-06,acquisition,BALIC,BLVPL,"CCI approves acquisition of certain stake of BALIC by BLVPL, from AXA India Holdings and acquisition of certain shareholding of BMSL by BEL from Societe Beaujon",https://pib.gov.in/PressReleasePage.aspx?PRID=1975200
2023-11-06,acquisition,Indo Rama Synthetics (India) Limited (IRSL),Mr. Aloke Lohia,CCI approves acquisition of 20.51% equity shares of Indo Rama Synthetics (India) Limited (IRSL) by Mr. Aloke Lohia from Brookgrange Investment Limited and transfer of 20.51% equity shares of IRSL to Ms. Urmila Lohia by M...,https://pib.gov.in/PressReleasePage.aspx?PRID=1975202
2023-09-20,acquisition,72.49% stake (approx.) in Quality Care India,BCP Asia II,CCI approves acquisition of 72.49% stake (approx.) in Quality Care India by BCP Asia II,https://pib.gov.in/PressReleasePage.aspx?PRID=1959116
2023-09-20,acquisition,approximately 24.16% of total equity shareholding in Quality Care India Limited,Centella Mauritius Holdings Limited,CCI approves acquisition of approximately 24.16% of total equity shareholding in Quality Care India Limited by Centella Mauritius Holdings Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=1959117
2023-09-01,acquisition,certain shareholding,Singapore Airlines in Air India,"CCI approves merger of Tata SIA Airlines into Air India, and acquisition of certain shareholding by Singapore Airlines in Air India",https://pib.gov.in/PressReleasePage.aspx?PRID=1954178
2023-08-29,acquisition,"Brillio Holdings, Inc.",Orogen-Brunson L,"CCI approves acquisition of certain shareholding in Brillio Holdings, Inc. by Orogen-Brunson L.P.",https://pib.gov.in/PressReleasePage.aspx?PRID=1953326
2023-08-16,acquisition,IBS Software Pte Limited,Pelipper HoldCo SARL,CCI approves acquisition of certain stake of IBS Software Pte Limited by Pelipper HoldCo SARL,https://pib.gov.in/PressReleasePage.aspx?PRID=1949671
2023-08-08,acquisition,90% of shareholding and voting rights of HDFC Credila Financial Services Limited,Kopvoorn B,"CCI approves proposed combination involving acquisition of 90% of shareholding and voting rights of HDFC Credila Financial Services Limited by Kopvoorn B.V., Moss Investments Limited, Infinity Partners and Defati Investm...",https://pib.gov.in/PressReleasePage.aspx?PRID=1946853
2023-07-27,acquisition,shareholding up to 59.38% of Unichem Laboratories Limited,Ipca Laboratories Limited,CCI approves proposed combination involving acquisition of shareholding up to 59.38% of Unichem Laboratories Limited by Ipca Laboratories Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=1943378
2023-06-27,acquisition,TCNS Clothing Co. Limited,Aditya Birla Fashion and Retail Limited,CCI approves acquisition of TCNS Clothing Co. Limited by Aditya Birla Fashion and Retail Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=1935673
2023-06-20,acquisition,HDFC Life Insurance Company Limited,Housing Development Finance Corporation Limited,CCI approves acquisition of additional shareholding of HDFC Life Insurance Company Limited by Housing Development Finance Corporation Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=1933711
2023-06-13,acquisition,Ambit Private Limited,Daiwa International Holdings Inc,CCI approves acquisition of certain shareholding in Ambit Private Limited by Daiwa International Holdings Inc.,https://pib.gov.in/PressReleasePage.aspx?PRID=1932099
2023-06-07,acquisition,Acko Tech,General Atlantic,CCI approves acquisition of additional stake in Acko Tech by General Atlantic,https://pib.gov.in/PressReleasePage.aspx?PRID=1930504
2023-05-03,acquisition,shareholding of Tower Vision India Private Limited,Ascend Telecom Infrastructure Private Limited and GIP EM Ascend 2 Pte,CCI approves acquisition of shareholding of Tower Vision India Private Limited by Ascend Telecom Infrastructure Private Limited and GIP EM Ascend 2 Pte. Ltd.,https://pib.gov.in/PressReleasePage.aspx?PRID=1921747
2023-04-20,acquisition,up to 76.10% of voting share capital of Suven Pharmaceuticals Limited,Berhyanda Limited,CCI approves acquisition of up to 76.10% of voting share capital of Suven Pharmaceuticals Limited by Berhyanda Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=1918371
2023-04-12,acquisition,stake in Mukand Sumi Special Steel Limited,Jamnalal Sons Private Limited,CCI approves acquisition of stake in Mukand Sumi Special Steel Limited by Jamnalal Sons Private Limited from Mukand Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=1915970
2023-04-12,acquisition,BTS Investment 1 Pte. Ltd. and Bodhi Tree Systems VCC,NBC Universal Media,"CCI approves acquisition of certain shareholding of BTS Investment 1 Pte. Ltd. and Bodhi Tree Systems VCC by NBC Universal Media, LLC a wholly-owned subsidiary of Comcast Corporation",https://pib.gov.in/PressReleasePage.aspx?PRID=1915972
2023-04-03,acquisition,C-Flex India Entities,SBP,"CCI approves share-swap for acquisition of C-Flex India Entities by SBP from C-Flex, in consideration for which C-Flex will be issued certain shareholding in SBP",https://pib.gov.in/PressReleasePage.aspx?PRID=1913423
2023-03-27,acquisition,shareholding of JM Baxi Ports and Logistics Limited,HL Terminal Holding B,CCI approves acquisition of shareholding of JM Baxi Ports and Logistics Limited by HL Terminal Holding B.V.,https://pib.gov.in/PressReleasePage.aspx?PRID=1911254
2023-03-27,acquisition,share capital of NSPIRA Management Services Private Limited,Mr. Puneet Kothapa,"CCI approves acquisition of share capital of NSPIRA Management Services Private Limited by Mr. Puneet Kothapa, Ms. Ponguru Sindhura and Ms. Ponguru Sharani",https://pib.gov.in/PressReleasePage.aspx?PRID=1911255
2023-03-15,acquisition,"100% of equity share capital of L&T Infrastructure Development Projects Limited and Kudgi Transmission Limited,",Epic Concesiones Private Limited and Infrastructure Yield Plus II,"CCI approves acquisition of 100% of equity share capital of L&T Infrastructure Development Projects Limited and Kudgi Transmission Limited, by Epic Concesiones Private Limited and Infrastructure Yield Plus II, respective...",https://pib.gov.in/PressReleasePage.aspx?PRID=1907050
2023-03-15,acquisition,METRO Cash and Carry India Private Limited,Reliance Retail Ventures Limited,CCI approves acquisition of METRO Cash and Carry India Private Limited by Reliance Retail Ventures Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=1907052
2023-03-15,acquisition,sole control of Meritor,Cummins,CCI approves acquisition of sole control of Meritor by Cummins,https://pib.gov.in/PressReleasePage.aspx?PRID=1907051
2023-02-22,acquisition,100% of issued and outstanding share capital and sole control of VGP Holdings LLC,Gateway Velocity Holding Corp,CCI approves acquisition of 100% of issued and outstanding share capital and sole control of VGP Holdings LLC by Gateway Velocity Holding Corp.,https://pib.gov.in/PressReleasePage.aspx?PRID=1901506
2023-02-14,acquisition,LT Foods Limited,SALIC International Investment Corporation,CCI approves acquisition of certain equity share capital of LT Foods Limited by SALIC International Investment Corporation,https://pib.gov.in/PressReleasePage.aspx?PRID=1899165
2023-02-13,acquisition,R Systems International Limited,BCP Asia II Topco II Pte,CCI approves combination involving acquisition of up to 100% shareholding in R Systems International Limited by BCP Asia II Topco II Pte. Ltd,https://pib.gov.in/PressReleasePage.aspx?PRID=1898911
2023-02-09,acquisition,upto 25% shareholding in HPPL,National Investment and Infrastructure Fund and proposed merger of HIPL into HPPL,CCI approves proposed acquisition of upto 25% shareholding in HPPL by National Investment and Infrastructure Fund and proposed merger of HIPL into HPPL,https://pib.gov.in/PressReleasePage.aspx?PRID=1897820
