date,company_name,category,title,url
2025-04-08,World Economic Forum,Unknown,MSDE partners with World Economic Forum to launch India Skills Accelerator,https://pib.gov.in/PressReleasePage.aspx?PRID=2120188
2025-03-19,DigiLocker,Unknown,Securities and Exchange Board of India (SEBI) partners with DigiLocker to reduce unclaimed assets in the Indian securities market and enhances investor protection,https://pib.gov.in/PressReleasePage.aspx?PRID=2112876
2025-03-06,J&K,Unknown,IWAI signs MoU with J&K to boost river cruise tourism,https://pib.gov.in/PressReleasePage.aspx?PRID=2108820
2025-02-25,Rooftop,Unknown,TRIFED signs MoU with Rooftop to facilitate skill enhancements of tribal artisans and facilitating their businesses,https://pib.gov.in/PressReleasePage.aspx?PRID=2106114
2025-02-24,Government of MP,Unknown,SECI signs MoU with Government of MP for 200 MW Solar Project at Dhar,https://pib.gov.in/PressReleasePage.aspx?PRID=2105881
2025-02-13,Rukam Capital and Bootstrap Incubation,Unknown,DPIIT partners with Rukam Capital and Bootstrap Incubation to boost India’s startup ecosystem,https://pib.gov.in/PressReleasePage.aspx?PRID=2102758
2025-01-28,Bhashini,Unknown,Tripura becomes first North East State to sign MoU with Bhashini for Multi-lingual Governance,https://pib.gov.in/PressReleasePage.aspx?PRID=2096998
2025-01-22,Apna,Startup,DPIIT partners with Apna to boost startup talent and create job opportunities for youth,https://pib.gov.in/PressReleasePage.aspx?PRID=2095057
2024-12-17,HDFC Bank,Private/MNC,DPIIT signs MoU with HDFC Bank to strengthen startup ecosystem and foster innovation,https://pib.gov.in/PressReleasePage.aspx?PRID=2085442
2024-11-26,CREDAI,Unknown,NABL under QCI signs MoU with CREDAI to enhance quality assurance for temporary site testing laboratories,https://pib.gov.in/PressReleasePage.aspx?PRID=2077488
2024-11-22,Banaras Hindu University and Ministry of Education,Unknown,"Ministry of Health and Family Welfare signs MoU with Banaras Hindu University and Ministry of Education to provide support to Institute of Medical Sciences, BHU on the lines of new AIIMS set up under PMSSY",https://pib.gov.in/PressReleasePage.aspx?PRID=2076022
2024-11-19,Research Society,Unknown,NABH under Quality Council of India (QCI) signs MoU with Research Society for the Study of Diabetes in India (RSSDI) to enhance quality of diabetes care,https://pib.gov.in/PressReleasePage.aspx?PRID=2074561
2024-11-04,ASCI Hyderabad,Unknown,SAIL signs MoU with ASCI Hyderabad for academic collaboration,https://pib.gov.in/PressReleasePage.aspx?PRID=2070588
2024-10-14,Meta,Private/MNC,MSDE partners with Meta for AI Assistant in Skill India Mission and 5 Centers of Excellence in NSTIs,https://pib.gov.in/PressReleasePage.aspx?PRID=2064628
2024-10-07,BMC,Unknown,National Skill Development Corporation (NSDC) signs MoU with BMC to Establish State-of-the-Art Skill Centre in Mumbai,https://pib.gov.in/PressReleasePage.aspx?PRID=2062976
2024-10-06,Government of Maharashtra,Unknown,Sports Authority of India (SAI) signs MoU with Government of Maharashtra to develop National Centre of Sports Excellence in Mumbai,https://pib.gov.in/PressReleasePage.aspx?PRID=2062664
2024-10-04,NTPC Vidyut Vyapar Nigam,Unknown,Indian Council of Medical Research signs MoU with NTPC Vidyut Vyapar Nigam to Boost Solar Power Usage in Health Research Facilities,https://pib.gov.in/PressReleasePage.aspx?PRID=2061998
2024-09-13,LuLu Group International,Unknown,APEDA signs MoU with LuLu Group International to promote Indian Organic Products globally,https://pib.gov.in/PressReleasePage.aspx?PRID=2054551
2024-08-30,Skill India,Unknown,"Visa partners with Skill India to up skill 20,000 youth for India's booming tourism industry",https://pib.gov.in/PressReleasePage.aspx?PRID=2050127
2024-08-22,HZL,Unknown,JNCASR partners with HZL to scale up indigenous Zn-ion battery technologies,https://pib.gov.in/PressReleasePage.aspx?PRID=2047647
2024-07-29,IIM-Bangalore,Unknown,Digital India Initiative: National e-Governance Division partners with IIM-Bangalore for Digital Government Senior Leaders' Programme,https://pib.gov.in/PressReleasePage.aspx?PRID=2038660
2024-07-05,NCAER,Unknown,DPIIT signs MoU with NCAER for Development of Framework & Assessment of Logistics Cost in India,https://pib.gov.in/PressReleasePage.aspx?PRID=2031084
2024-07-01,MosChip and Socionext,Unknown,C-DAC partners with MosChip and Socionext for design & development of High Performance Computing Processor AUM based on Arm architecture,https://pib.gov.in/PressReleasePage.aspx?PRID=2030068
2024-06-19,Australian Government,Unknown,MSDE partners with Australian Government to energise Agriculture Sector of India with emerging skills,https://pib.gov.in/PressReleasePage.aspx?PRID=2026734
2024-06-13,Sansad TV,Unknown,IGNCA signs MoU with Sansad TV,https://pib.gov.in/PressReleasePage.aspx?PRID=2025191
2024-05-10,Mahindra & Mahindra Ltd,Unknown,Ministry of Skill Development & Entrepreneurship signs MoU with Mahindra & Mahindra Ltd. to conduct two Pilot Projects under the Drone Didi Yojana,https://pib.gov.in/PressReleasePage.aspx?PRID=2020242
2024-04-03,IIT Patna,Unknown,SJVN partners with IIT Patna to improve Tunneling Project Performance using Advanced Geological Models,https://pib.gov.in/PressReleasePage.aspx?PRID=2017029
2024-03-15,J-PAL South Asia,Unknown,Ministry of Rural Development signs a MoU with J-PAL South Asia to provide technical assistance in the implementation of inclusive development under DAY NRLM,https://pib.gov.in/PressReleasePage.aspx?PRID=2014887
2024-03-12,IIT Delhi,Unknown,Ministry of Rural Development signs a MoU with IIT Delhi to formalize their partnership in applications of geospatial technology and artificial intelligence,https://pib.gov.in/PressReleasePage.aspx?PRID=2013810
2024-03-09,Electronics Sector Skills Council of India,Unknown,Department of Empowerment of Persons with Disabilities signs MoU with Electronics Sector Skills Council of India for Skilling of PwDs,https://pib.gov.in/PressReleasePage.aspx?PRID=2012937
2024-03-09,SignAble Communications,Unknown,Department of Empowerment of Persons with Disabilities signs MoU with SignAble Communications to support Divyangjan with Speech & Hearing disabilities,https://pib.gov.in/PressReleasePage.aspx?PRID=2012940
2024-03-07,UCOST,Unknown,CSIR-Indian Institute of Petroleum signs MoU with UCOST to deploy the Pine Needles-based fuel-making technology in Champawat,https://pib.gov.in/PressReleasePage.aspx?PRID=2012113
2024-03-06,UCOST,Unknown,CSIR-Indian Institute of Petroleum signs MoU with UCOST to deploy the Pine Needles-based fuel-making technology in Champawat,https://pib.gov.in/PressReleasePage.aspx?PRID=2012038
2024-02-27,RIS,Unknown,Ministry of Ayush signed MoU with RIS,https://pib.gov.in/PressReleasePage.aspx?PRID=2009401
2024-02-19,Open Network,Unknown,Department of Fisheries signs a MoU with Open Network for Digital Commerce in the presence of Union Minister Shri Parshottam Rupala today at New Delhi,https://pib.gov.in/PressReleasePage.aspx?PRID=2007083
2024-02-17,Open Network,Unknown,Department of Fisheries will be signing a MoU with Open Network for Digital Commerce in the presence of Union Minister Shri Parshottam Rupala on 19th February 2024 at New Delhi,https://pib.gov.in/PressReleasePage.aspx?PRID=2006752
2024-02-16,Colombia on sharing India's open-sourced DPIs,Unknown,India signs MoU with Colombia on sharing India's open-sourced DPIs,https://pib.gov.in/PressReleasePage.aspx?PRID=2006634
2024-02-02,BRAC International,Unknown,"National Rural Livelihood Promotion Society (NRLPS), MoRD signed MoU with BRAC International for economic inclusion and social protection for the poorest of the poor women",https://pib.gov.in/PressReleasePage.aspx?PRID=2001764
2024-01-30,Government of Maharashtra,Unknown,"NGEL signs MoU with Government of Maharashtra for development of Green Hydrogen Projects; ~ ₹ 80, 000 crores investment expected in five years",https://pib.gov.in/PressReleasePage.aspx?PRID=2000513
2024-01-04,Govt,Unknown,RECPDCL signs MoU with Govt. of Gujarat for Smart Metering project,https://pib.gov.in/PressReleasePage.aspx?PRID=1993216
2024-01-04,GPCL,Unknown,"NHPC signs MoU with GPCL, Govt. of Gujarat; to invest ~ Rs. 4,000 crores in proposed 750 MW Kuppa Pumped Hydro Storage Project",https://pib.gov.in/PressReleasePage.aspx?PRID=1993217
2024-01-03,Rail Vikas Nigam Limited,Unknown,"REC Limited signs MoU with Rail Vikas Nigam Limited, to Finance Multi-Modal Infrastructure Projects up to Rs. 35,000 crores over next 5 Years",https://pib.gov.in/PressReleasePage.aspx?PRID=1992631
2024-01-03,Govt,Unknown,"PFC signs MoU with Govt. of Gujarat for Power Projects worth Rs. 25,000 Crore",https://pib.gov.in/PressReleasePage.aspx?PRID=1992770
2024-01-03,NRSC,Unknown,NHAI signs MoU with NRSC for Development and Reporting of “Green Cover Index” for National Highways of India,https://pib.gov.in/PressReleasePage.aspx?PRID=1992882
2023-11-09,RailTel,PSU/CPSE,"REC signs MoU with RailTel, to Finance Infrastructure Projects in Telecom, IT and Railway Signalling",https://pib.gov.in/PressReleasePage.aspx?PRID=1975940
