state,sector,status_bucket,count
GUJARAT,Non-Coal Mining,dead,1823
GUJARAT,Non-Coal Mining,granted,2348
GUJARAT,Non-Coal Mining,in_process,443
GUJARAT,Non-Coal Mining,tor_granted,926
GUJARAT,None,in_process,508
GUJARAT,River Valley and Hydroelectric Projects,dead,3
GUJARAT,River Valley and Hydroelectric Projects,granted,1
GUJARAT,River Valley and Hydroelectric Projects,tor_granted,8
GUJARAT,Thermal Projects,dead,8
GUJARAT,Thermal Projects,granted,9
GUJARAT,Thermal Projects,in_process,2
GUJARAT,Thermal Projects,tor_granted,3
HARYANA,INFRA-1,dead,3
HARYANA,INFRA-1,granted,1
HARYANA,INFRA-1,in_process,3
HARYANA,INFRA-1,tor_granted,6
HARYANA,INFRA-2,dead,140
HARYANA,INFRA-2,granted,411
HARYANA,INFRA-2,in_process,159
HARYANA,INFRA-2,tor_granted,212
HARYANA,Industrial Projects - 1,dead,6
HARYANA,Industrial Projects - 1,granted,12
HARYANA,Industrial Projects - 1,in_process,2
HARYANA,Industrial Projects - 1,tor_granted,17
HARYANA,Industrial Projects - 2,dead,19
HARYANA,Industrial Projects - 2,granted,13
HARYANA,Industrial Projects - 2,in_process,4
HARYANA,Industrial Projects - 2,tor_granted,6
HARYANA,Industrial Projects - 3,dead,17
HARYANA,Industrial Projects - 3,granted,16
HARYANA,Industrial Projects - 3,in_process,8
HARYANA,Industrial Projects - 3,tor_granted,20
HARYANA,Non-Coal Mining,dead,8
HARYANA,Non-Coal Mining,granted,49
HARYANA,Non-Coal Mining,in_process,8
HARYANA,Non-Coal Mining,tor_granted,41
HARYANA,None,in_process,6
HARYANA,Thermal Projects,granted,2
HARYANA,Thermal Projects,tor_granted,2
HIMACHAL PRADESH,INFRA-1,granted,2
HIMACHAL PRADESH,INFRA-1,tor_granted,2
HIMACHAL PRADESH,INFRA-2,dead,12
HIMACHAL PRADESH,INFRA-2,granted,20
HIMACHAL PRADESH,INFRA-2,in_process,10
HIMACHAL PRADESH,INFRA-2,tor_granted,5
HIMACHAL PRADESH,Industrial Projects - 1,dead,11
HIMACHAL PRADESH,Industrial Projects - 1,granted,4
HIMACHAL PRADESH,Industrial Projects - 1,tor_granted,3
HIMACHAL PRADESH,Industrial Projects - 2,granted,5
HIMACHAL PRADESH,Industrial Projects - 2,in_process,2
HIMACHAL PRADESH,Industrial Projects - 2,tor_granted,3
HIMACHAL PRADESH,Industrial Projects - 3,dead,3
HIMACHAL PRADESH,Industrial Projects - 3,granted,1
