date,deal_type,role,company_name,title,url
2026-05-12,acquisition,acquirer,Thriveni Earthmovers Pvt Ltd,CCI approves acquisition of 7.14% stake in Llyods Engineering Works by Thriveni Earthmovers Pvt Ltd. and merger of three entities into Lloyds Engineering Works Ltd,https://pib.gov.in/PressReleasePage.aspx?PRID=2260405
2026-04-28,acquisition,target,Avendus Capital Pvt Ltd.,CCI approves acquisition of certain equity share capital of Avendus Capital Pvt Ltd. by Mizuho Securities Co. Ltd. on a fully diluted basis,https://pib.gov.in/PressReleasePage.aspx?PRID=2256395
2026-04-28,acquisition,acquirer,Mizuho Securities Co,CCI approves acquisition of certain equity share capital of Avendus Capital Pvt Ltd. by Mizuho Securities Co. Ltd. on a fully diluted basis,https://pib.gov.in/PressReleasePage.aspx?PRID=2256395
2026-04-07,acquisition,target,equity shares amounting to 14.286% of Aditya Birla Housing Finance Ltd.,CCI approves acquisition of equity shares amounting to 14.286% of Aditya Birla Housing Finance Ltd. by Indriya Ltd.,https://pib.gov.in/PressReleasePage.aspx?PRID=2249850
2026-04-07,acquisition,acquirer,Indriya Ltd,CCI approves acquisition of equity shares amounting to 14.286% of Aditya Birla Housing Finance Ltd. by Indriya Ltd.,https://pib.gov.in/PressReleasePage.aspx?PRID=2249850
2026-04-07,acquisition,target,100% equity shares and non-cumulative optionally convertible redeemable preference shares in Nabha Power Ltd.,CCI approves proposed acquisition of 100% equity shares and non-cumulative optionally convertible redeemable preference shares in Nabha Power Ltd. by Torrent Power Ltd.,https://pib.gov.in/PressReleasePage.aspx?PRID=2249851
2026-04-07,acquisition,acquirer,Torrent Power Ltd,CCI approves proposed acquisition of 100% equity shares and non-cumulative optionally convertible redeemable preference shares in Nabha Power Ltd. by Torrent Power Ltd.,https://pib.gov.in/PressReleasePage.aspx?PRID=2249851
2026-04-07,acquisition,target,KNR SPVs,CCI approves acquisition of 100% equity shareholding of KNR SPVs by Indus Infra Trust from KNR Constructions Ltd.,https://pib.gov.in/PressReleasePage.aspx?PRID=2249854
2026-04-07,acquisition,acquirer,Indus Infra Trust,CCI approves acquisition of 100% equity shareholding of KNR SPVs by Indus Infra Trust from KNR Constructions Ltd.,https://pib.gov.in/PressReleasePage.aspx?PRID=2249854
2026-04-07,acquisition,target,certain equity shares,CCI approves acquisition of certain equity shares by Coastal Cedar Investments B.V. in Fleur Hotels and internal restructuring of Lemon Tree Hotels group through amalgamation and demerger,https://pib.gov.in/PressReleasePage.aspx?PRID=2249855
2026-04-07,acquisition,acquirer,Coastal Cedar Investments B,CCI approves acquisition of certain equity shares by Coastal Cedar Investments B.V. in Fleur Hotels and internal restructuring of Lemon Tree Hotels group through amalgamation and demerger,https://pib.gov.in/PressReleasePage.aspx?PRID=2249855
2026-03-25,merger,target,"Chess Merger Sub, wholly owned subsidiary of Coursera Inc.,","CCI approves merger of Chess Merger Sub, wholly owned subsidiary of Coursera Inc., with and into Udemy Inc.",https://pib.gov.in/PressReleasePage.aspx?PRID=2245400
2026-03-25,merger,acquirer,Udemy Inc,"CCI approves merger of Chess Merger Sub, wholly owned subsidiary of Coursera Inc., with and into Udemy Inc.",https://pib.gov.in/PressReleasePage.aspx?PRID=2245400
2026-03-25,acquisition,target,shareholding of Groww Asset Management,"CCI approves acquisition of shareholding of Groww Asset Management by State Street Global Advisors, Inc.",https://pib.gov.in/PressReleasePage.aspx?PRID=2245404
2026-03-25,acquisition,acquirer,State Street Global Advisors,"CCI approves acquisition of shareholding of Groww Asset Management by State Street Global Advisors, Inc.",https://pib.gov.in/PressReleasePage.aspx?PRID=2245404
2026-03-25,acquisition,target,Shriram Finance,CCI approves acquisition of certain shares in Shriram Finance by MUFG Bank Ltd.,https://pib.gov.in/PressReleasePage.aspx?PRID=2245407
2026-03-25,acquisition,acquirer,MUFG Bank Ltd,CCI approves acquisition of certain shares in Shriram Finance by MUFG Bank Ltd.,https://pib.gov.in/PressReleasePage.aspx?PRID=2245407
2026-03-25,acquisition,target,Valuedrive Technologies Pvt Ltd,"CCI approves proposed acquisition of additional shareholding of Valuedrive Technologies Pvt Ltd by Setu AIF Trust, Konark Trust, and MMPL Trust",https://pib.gov.in/PressReleasePage.aspx?PRID=2245409
2026-03-25,acquisition,acquirer,Setu AIF Trust,"CCI approves proposed acquisition of additional shareholding of Valuedrive Technologies Pvt Ltd by Setu AIF Trust, Konark Trust, and MMPL Trust",https://pib.gov.in/PressReleasePage.aspx?PRID=2245409
2026-03-11,acquisition,target,a certain stake in Curefit Healthcare (Target),CCI approves acquisition of a certain stake in Curefit Healthcare (Target) by MacRitchie Investments Pte. Ltd. (Acquirer),https://pib.gov.in/PressReleasePage.aspx?PRID=2238086
2026-03-11,acquisition,acquirer,MacRitchie Investments Pte,CCI approves acquisition of a certain stake in Curefit Healthcare (Target) by MacRitchie Investments Pte. Ltd. (Acquirer),https://pib.gov.in/PressReleasePage.aspx?PRID=2238086
2026-03-05,acquisition,target,certain stake,CCI approves proposed combination inter alia involving acquisition of certain stake by Bagmane Prime Office REIT of Bagmane Developers and others,https://pib.gov.in/PressReleasePage.aspx?PRID=2235404
2026-03-05,acquisition,acquirer,Bagmane Prime Office REIT of Bagmane Developers and others,CCI approves proposed combination inter alia involving acquisition of certain stake by Bagmane Prime Office REIT of Bagmane Developers and others,https://pib.gov.in/PressReleasePage.aspx?PRID=2235404
2026-03-05,acquisition,target,Balaji Wafers,CCI approves acquisition of certain shareholding in Balaji Wafers by General Atlantic Singapore BWP Pte,https://pib.gov.in/PressReleasePage.aspx?PRID=2235406
2026-03-05,acquisition,acquirer,General Atlantic Singapore BWP Pte,CCI approves acquisition of certain shareholding in Balaji Wafers by General Atlantic Singapore BWP Pte,https://pib.gov.in/PressReleasePage.aspx?PRID=2235406
2026-03-05,acquisition,target,Generali Central Insurance Company and Generali Central Life Insurance,CCI approves acquisition of additional shareholding in Generali Central Insurance Company and Generali Central Life Insurance by Central Bank of India,https://pib.gov.in/PressReleasePage.aspx?PRID=2235410
2026-03-05,acquisition,acquirer,Central Bank of India,CCI approves acquisition of additional shareholding in Generali Central Insurance Company and Generali Central Life Insurance by Central Bank of India,https://pib.gov.in/PressReleasePage.aspx?PRID=2235410
2026-02-18,acquisition,target,portfolio management services business of Axis Securities,CCI approves acquisition of portfolio management services business of Axis Securities by Axis Asset Management Company,https://pib.gov.in/PressReleasePage.aspx?PRID=2229543
2026-02-18,acquisition,acquirer,Axis Asset Management Company,CCI approves acquisition of portfolio management services business of Axis Securities by Axis Asset Management Company,https://pib.gov.in/PressReleasePage.aspx?PRID=2229543
2026-02-12,acquisition,target,low voltage motor business of Siemens Ltd.,CCI approves acquisition of low voltage motor business of Siemens Ltd. by Innomotics India Pvt Ltd.,https://pib.gov.in/PressReleasePage.aspx?PRID=2227274
2026-02-12,acquisition,acquirer,Innomotics India Pvt Ltd,CCI approves acquisition of low voltage motor business of Siemens Ltd. by Innomotics India Pvt Ltd.,https://pib.gov.in/PressReleasePage.aspx?PRID=2227274
2026-02-12,acquisition,target,minority shareholding of ~6.63% of Valuedrive Technologies Pvt Ltd,CCI approves proposed acquisition of minority shareholding of ~6.63% of Valuedrive Technologies Pvt Ltd by Fidelity Funds,https://pib.gov.in/PressReleasePage.aspx?PRID=2227277
